numero,nombre,causa contaminante,area influencia (kms),descripcion,fecha apertura,comuna de tramitacion,status
15034-91882-KH,Inseego Corp.,contaminacion de la cadena trofica,40.44,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2011-06-07,Navidad,en tramite
40580-26655-IN,Yelp Inc.,contaminacion de la cadena trofica,48.51,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2005-01-29,Rinconada,en tramite
933-93899-ME,Navio,contaminacion de la cadena trofica,14.31,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2006-09-07,Coihaique,en tramite
52452-11632-DJ,Terreno Realty Corporation,contaminacion del aire,16.87,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2011-01-12,Maullin,en tramite
25264-2574-LK,SCL Chemetall,contaminacion del aire,34.46,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,1999-10-29,Carahue,en tramite
31926-21178-EB,Trongol,contaminacion de suelo,28.58,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2008-12-13,Pitrufquen,en tramite
75887-7992-FG,Haldeman - Sagasca,contaminacion de suelo,27.7,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1990-11-17,San Clemente,en tramite
87965-7162-MB,Lota,contaminacion del aire,3.38,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2012-11-22,San Rafael,en tramite
98051-99970-KB,Nuveen AMT-Free Municipal Value Fund,contaminacion de suelo,8.25,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,1976-01-07,Marchihue,en tramite
11282-90991-EA,"Entergy Louisiana, Inc.",contaminacion del aire,21.06,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2019-01-30,San Ramon,en tramite
18823-87464-II,Galectin Therapeutics Inc.,contaminacion del aire,22.92,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2018-12-22,Frutillar,en tramite
62893-84561-HA,Incyte Corporation,contaminacion del aire,34.19,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2010-06-18,Pinto,en tramite
68602-75315-MD,Toll Brothers Inc.,contaminacion de la cadena trofica,36.45,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2006-07-24,Maule,en tramite
8990-98288-HM,"SeaChange International, Inc.",contaminacion de la cadena trofica,26.05,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1958-01-09,Vallenar,en tramite
71431-81235-HM,AbbVie Inc.,contaminacion de la cadena trofica,10.54,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",2014-07-06,Coltauco,en tramite
1381-4766-FB,"Kayne Anderson Energy Total Return Fund, Inc.",contaminacion de la cadena trofica,23.72,In congue. Etiam justo. Etiam pretium iaculis justo.,1992-04-28,Isla de Maipo,en tramite
26874-39768-NG,"FairPoint Communications, Inc.",contaminacion de suelo,42,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1991-12-16,San Gregorio,en tramite
47931-32842-LM,Michilla,contaminacion del aire,21.27,In congue. Etiam justo. Etiam pretium iaculis justo.,1983-10-16,Renca,en tramite
31569-97764-ID,"H&R Block, Inc.",contaminacion del aire,5.53,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1989-05-18,Nacimiento,en tramite
82821-9653-IL,Can Can,contaminacion de suelo,3.17,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2017-11-03,Olivar,en tramite
54678-7991-BD,"HD Supply Holdings, Inc.",contaminacion del aire,24.36,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-10-21,Lo Prado,en tramite
88483-42850-OL,Moog Inc.,contaminacion del aire,32.83,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2019-04-24,Retiro,en tramite
91451-79426-HN,Container Store (The),contaminacion de la cadena trofica,32.88,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2004-05-11,Saavedra,en tramite
2515-70419-BK,"Vectrus, Inc.",contaminacion del aire,42.8,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",2019-02-11,Futaleufu,en tramite
67907-91471-JI,"SolarEdge Technologies, Inc.",contaminacion de la cadena trofica,12.59,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2008-04-30,Ninhue,en tramite
99939-68279-JF,Diana Shipping inc.,contaminacion de la cadena trofica,9.02,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2017-07-01,Laguna Blanca,en tramite
91055-2425-AN,Bright Scholar Education Holdings Limited,contaminacion de la cadena trofica,3.42,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2008-05-21,Calera,en tramite
314-8182-HI,Ferton,contaminacion de la cadena trofica,3.57,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2010-03-07,Salamanca,en tramite
48395-29381-BE,Toll Brothers Inc.,contaminacion de la cadena trofica,27.21,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,1969-09-03,Pozo Almonte,en tramite
6039-46278-DM,Michilla,contaminacion de suelo,11.53,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1993-11-14,Llanquihue,en tramite
73534-90231-HI,PTC Inc.,contaminacion de la cadena trofica,24.35,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1996-01-08,Llaillay,en tramite
17580-89623-OM,"MiMedx Group, Inc",contaminacion de la cadena trofica,31.48,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1973-12-29,Maipu,en tramite
52703-52793-AN,"Edge Therapeutics, Inc.",contaminacion de la cadena trofica,29.95,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1970-09-09,Purranque,en tramite
74694-31348-GD,Pupunahue,contaminacion de la cadena trofica,22.26,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2009-03-25,Rinconada,en tramite
52284-16837-NN,Delta,contaminacion de la cadena trofica,30.34,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2004-09-14,Arica,en tramite
54956-80049-BJ,Punta de Lobos - Kanita,contaminacion de la cadena trofica,21,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2004-03-18,Futrono,en tramite
51783-24718-HB,Maganeso III de Atacama,contaminacion de la cadena trofica,40.81,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2014-08-11,Colbun,en tramite
15484-55884-AB,"PDF Solutions, Inc.",contaminacion del aire,3.69,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,2000-02-03,Laja,en tramite
24000-80875-LO,Marte Lobo,contaminacion del aire,27.5,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2010-11-02,Maullin,en tramite
40730-73518-GG,"MasTec, Inc.",contaminacion de suelo,49.86,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2016-04-05,Punitaqui,en tramite
36328-56110-OF,Los Bronces,contaminacion de suelo,42.11,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",2016-01-16,Queilen,en tramite
36292-25733-IJ,Lions Gate Entertainment Corporation,contaminacion de suelo,31.41,Fusce consequat. Nulla nisl. Nunc nisl.,2017-03-27,Cabrero,en tramite
27015-10665-IE,"Shutterstock, Inc.",contaminacion de suelo,48.48,Fusce consequat. Nulla nisl. Nunc nisl.,2008-11-10,Cabildo,en tramite
43955-80754-BH,Chimberos,contaminacion de suelo,43.54,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1984-11-07,Hualane,en tramite
30984-62661-BH,"Nutanix, Inc.",contaminacion del aire,46.2,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2015-09-30,Constitucion,en tramite
23502-8803-NH,Mantos Blancos,contaminacion de la cadena trofica,49.09,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2018-05-18,Licanten,en tramite
92110-70853-KK,SQM - Mapocho,contaminacion del aire,8.69,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1977-08-06,Parral,en tramite
17794-88455-NG,Ivan,contaminacion de suelo,5.94,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,2006-07-18,Paine,en tramite
73600-83049-BK,"Hurco Companies, Inc.",contaminacion del aire,33.95,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2001-06-07,Timaukel,en tramite
95381-11530-GD,Northrop Grumman Corporation,contaminacion del aire,45.53,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1990-10-05,Negrete,en tramite
29929-85963-DK,Marte Lobo,contaminacion de la cadena trofica,25.62,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2000-05-07,Coltauco,en tramite
25617-27895-FI,Cosayach - Soledad,contaminacion de suelo,6.31,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2010-12-02,Penaflor,en tramite
99349-34993-EG,Pampa Camarones,contaminacion de la cadena trofica,18.55,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2010-02-18,Maria Pinto,en tramite
39648-21403-GH,SCL Chemetall,contaminacion de suelo,41.98,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1983-04-26,Pelarco,en tramite
51470-54280-LM,Marine Petroleum Trust,contaminacion de suelo,24.58,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2008-04-01,Camarones,en tramite
48438-89200-AK,Pampa Camarones,contaminacion de suelo,20.52,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2013-01-11,Chile Chico,en tramite
9647-51110-IB,Manto Verde,contaminacion de suelo,43.01,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1971-04-08,Maullin,en tramite
31250-53298-KD,Dollar General Corporation,contaminacion de la cadena trofica,11.09,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2019-01-24,Quillota,en tramite
73835-79618-GA,"Avenue Therapeutics, Inc.",contaminacion de suelo,9.33,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2008-07-24,Quintero,en tramite
44711-38611-NI,"UMH Properties, Inc.",contaminacion de la cadena trofica,18.37,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1971-05-02,Primavera,en tramite
3541-24866-GB,Celite - Tana,contaminacion de suelo,4.88,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1992-01-29,Chile Chico,en tramite
83925-22949-MN,Los Bronces,contaminacion de la cadena trofica,40.23,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1952-11-09,Zapallar,en tramite
27617-49734-DG,Neff Corporation,contaminacion del aire,46.14,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",2009-06-24,Ninhue,en tramite
1405-57352-FB,San Geronimo,contaminacion de suelo,37.09,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2019-01-14,Lebu,en tramite
85116-30876-JJ,"Sierra Oncology, Inc.",contaminacion de la cadena trofica,7.45,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,2004-12-23,Chiguayante,en tramite
55754-40935-JM,"China Lodging Group, Limited",contaminacion del aire,20.49,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1953-03-24,Osorno,en tramite
81692-78732-OD,China Cord Blood Corporation,contaminacion de la cadena trofica,3.84,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2019-02-21,San Antonio,en tramite
42899-36013-BK,United Insurance Holdings Corp.,contaminacion de suelo,23.9,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2012-11-24,Pitrufquen,en tramite
62769-48316-JL,Inacesa - El Way,contaminacion de suelo,17.77,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1980-06-20,Lago Ranco,en tramite
46376-64880-NE,El Morro,contaminacion del aire,15.91,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1991-02-11,Vichuquen,en tramite
9091-18322-DK,Dorado,contaminacion del aire,37.57,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1996-07-30,Pucon,en tramite
25126-88571-NL,"First Hawaiian, Inc.",contaminacion de la cadena trofica,24.48,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1998-02-05,Curacavi,en tramite
20138-63871-AF,Johnson & Johnson,contaminacion de suelo,20.11,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2011-12-25,Los Alamos,en tramite
19104-88446-DE,Eagle Bulk Shipping Inc.,contaminacion del aire,34.89,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2001-07-03,Galvarino,en tramite
59065-2297-LD,SQM - Pedro de Valdivia,contaminacion de la cadena trofica,14.5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Mauris viverra diam vitae quam. Suspendisse potenti.",2011-12-01,Maria Elena,en tramite
35094-94809-AN,Dollar General Corporation,contaminacion de suelo,11.17,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2015-03-12,Placilla,en tramite
99748-88333-OB,Toll Brothers Inc.,contaminacion del aire,33.34,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1983-10-25,Quilaco,en tramite
10405-3013-FB,First Trust South Korea AlphaDEX Fund,contaminacion del aire,37.27,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1995-05-20,Cisnes,en tramite
20917-8392-BH,Esterline Technologies Corporation,contaminacion de suelo,20.75,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2018-07-02,Ninhue,en tramite
83550-52886-EE,Del Fierro,contaminacion de suelo,46.21,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1973-12-08,Laja,en tramite
39937-42231-KK,Patriot National Bancorp Inc.,contaminacion de suelo,49.39,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2007-09-23,Constitucion,en tramite
13731-33823-KG,ACF - Lagunas,contaminacion de la cadena trofica,30.7,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1981-10-15,Curico,en tramite
99131-22394-OE,"Portola Pharmaceuticals, Inc.",contaminacion de la cadena trofica,37.92,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2017-07-20,Camarones,en tramite
81198-14020-OM,"ILG, Inc",contaminacion del aire,31.12,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1986-11-01,Marchihue,en tramite
37932-93155-LH,Bed Bath & Beyond Inc.,contaminacion del aire,0.6,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2004-08-01,Quilleco,en tramite
10362-83889-AB,Imax Corporation,contaminacion de suelo,8.77,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",1991-03-27,Hualane,en tramite
92927-6453-AJ,TICC Capital Corp.,contaminacion de la cadena trofica,26.67,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1983-04-25,Lebu,en tramite
55418-34133-KB,Western Alliance Bancorporation,contaminacion de la cadena trofica,3.13,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2004-12-28,Guaitecas,en tramite
17149-38609-NJ,"Avon Products, Inc.",contaminacion de suelo,7.38,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1998-12-14,Futrono,en tramite
86135-37414-LK,Antucoya,contaminacion de la cadena trofica,48.74,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1963-01-10,Salamanca,en tramite
60895-66489-KM,"Edge Therapeutics, Inc.",contaminacion de suelo,9.04,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2019-05-19,Pedro Aguirre Cerda,en tramite
1162-81244-BK,Eaton Vance Corporation,contaminacion de la cadena trofica,11.6,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2016-06-19,Padre Hurtado,en tramite
29042-69868-HM,Isla Guarello,contaminacion de la cadena trofica,14.77,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1983-12-12,Los Angeles,en tramite
78748-19010-MO,The Community Financial Corporation,contaminacion del aire,48.11,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2010-04-25,Timaukel,en tramite
48611-12240-LA,Dos Amigos,contaminacion del aire,15.18,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2007-12-10,La Cisterna,en tramite
49737-32319-EJ,Imax Corporation,contaminacion de la cadena trofica,19.44,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2008-08-02,Curaco de Velez,en tramite
42490-9549-FI,Pupunahue,contaminacion del aire,49.31,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",2010-05-24,Puren,en tramite
62386-42264-KM,Intracampos,contaminacion de la cadena trofica,0.77,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.",1982-06-22,Pucon,en tramite
68632-15702-BN,SCL Chemetall,contaminacion de suelo,4.51,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2017-07-19,Pichilemu,en tramite
45329-39965-FN,"Ulta Beauty, Inc.",contaminacion de suelo,1.42,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1985-10-25,Temuco,en tramite
45674-72204-LL,"Blackhawk Network Holdings, Inc.",contaminacion del aire,23.87,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2018-03-25,Calbuco,en tramite
18116-27855-FA,First Trust Emerging Markets Small Cap AlphaDEX Fund,contaminacion del aire,36.29,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2010-07-13,Mulchen,en tramite
77220-5594-EM,Manto Verde,contaminacion de la cadena trofica,22.44,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2004-08-21,Angol,en tramite
67912-57970-FK,Pirquitas,contaminacion del aire,28.02,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2000-04-06,Rauco,en tramite
15566-33961-IH,"National American University Holdings, Inc.",contaminacion de suelo,9.11,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1984-09-07,Nunoa,en tramite
28067-87061-NJ,"Recon Technology, Ltd.",contaminacion del aire,8.14,In congue. Etiam justo. Etiam pretium iaculis justo.,2010-04-02,Los Sauces,en tramite
54269-7563-OD,Inacesa - El Way,contaminacion de suelo,39.76,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae. Duis faucibus accumsan odio. Curabitur convallis.",2004-04-10,Santa Juana,en tramite
